model_name,km_driven,fuel_type,transmission,owner,price,link,engine_capacity
2022 Renault TRIBER,40.30k km,Petrol,Manual,1st owner,₹5.60 lakh,https://www.cars24.com/buy-used-renault-triber-2022-cars-hyderabad-10469743752/,999cc
2022 Renault Kwid,61.81k km,Petrol,Manual,1st owner,₹3.26 lakh,https://www.cars24.com/buy-used-renault-kwid-2022-cars-hyderabad-10443744791/,999cc
2021 Tata NEXON,41.39k km,Petrol,Manual,1st owner,₹6.14 lakh,https://www.cars24.com/buy-used-tata-nexon-2021-cars-hyderabad-10455726769/,1199cc
2024 Mahindra Thar,3.35k km,Petrol,Auto,1st owner,₹14.33 lakh,https://www.cars24.com/buy-used-mahindra-thar-2024-cars-hyderabad-10486441728/,1997cc
2022 Hyundai VENUE,72.10k km,Petrol,Manual,1st owner,₹7.35 lakh,https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10494143724/,1197cc
2023 Maruti Swift,36.46k km,Petrol,Manual,1st owner,₹6.18 lakh,https://www.cars24.com/buy-used-maruti-swift-2023-cars-hyderabad-10494043726/,1197cc
2018 Maruti Baleno,53.14k km,Petrol,Auto,2nd owner,₹4.95 lakh,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10400044711/,1197cc
2017 Maruti Alto K10,39.46k km,Petrol,Manual,1st owner,₹2.84 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-hyderabad-10482742720/,998cc
2023 Maruti Baleno,52.85k km,Petrol,Manual,1st owner,₹6.51 lakh,https://www.cars24.com/buy-used-maruti-baleno-2023-cars-hyderabad-10401544721/,1197cc
2023 Renault Kwid,30.92k km,Petrol,Manual,1st owner,₹3.55 lakh,https://www.cars24.com/buy-used-renault-kwid-2023-cars-hyderabad-10463945798/,999cc
2023 Hyundai NEW I20,31.96k km,Petrol,Auto,1st owner,₹7.63 lakh,https://www.cars24.com/buy-used-hyundai-new-i20-2023-cars-hyderabad-10449943793/,
2014 Maruti Alto 800,72.52k km,Petrol,Manual,1st owner,₹1.77 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10460943758/,796cc
2014 Maruti Swift Dzire,42.96k km,Petrol,Manual,1st owner,₹3.95 lakh,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-hyderabad-10468845731/,1197cc
2016 Honda City,97.57k km,Petrol,Manual,1st owner,₹4.62 lakh,https://www.cars24.com/buy-used-honda-city-2016-cars-hyderabad-10418145750/,1497cc
2019 Renault Kwid,1.1L km,Petrol,Manual,1st owner,₹2.99 lakh,https://www.cars24.com/buy-used-renault-kwid-2019-cars-hyderabad-10407931793/,999cc
2016 Maruti Ciaz,38.31k km,Petrol,Manual,1st owner,₹5.55 lakh,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-hyderabad-10477842756/,1373cc
2020 Nissan MAGNITE,1.1L km,Petrol,Auto,1st owner,₹5.62 lakh,https://www.cars24.com/buy-used-nissan-magnite-2020-cars-hyderabad-1045339925/,
2020 Tata Harrier,45.07k km,Diesel,Auto,1st owner,₹16.35 lakh,https://www.cars24.com/buy-used-tata-harrier-2020-cars-hyderabad-10459945704/,1956cc
2019 Hyundai XCENT PRIME,63.67k km,CNG,Manual,1st owner,₹4.35 lakh,https://www.cars24.com/buy-used-hyundai-xcent-prime-2019-cars-hyderabad-10406145754/,1197cc
2017 Maruti Celerio,94.48k km,Petrol,Auto,1st owner,₹3.60 lakh,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-hyderabad-10440947759/,
2022 Skoda KUSHAQ,63.50k km,Petrol,Auto,1st owner,₹11.63 lakh,https://www.cars24.com/buy-used-skoda-kushaq-2022-cars-hyderabad-10458628722/,1498cc
2019 Maruti Swift,69.74k km,Petrol,Auto,2nd owner,₹4.99 lakh,https://www.cars24.com/buy-used-maruti-swift-2019-cars-hyderabad-10420742739/,1197cc
2019 Honda WR-V,53.35k km,Petrol,Manual,2nd owner,₹6.16 lakh,https://www.cars24.com/buy-used-honda-wr-v-2019-cars-hyderabad-10468444784/,1199cc
2022 MG ASTOR,35.10k km,Petrol,Auto,1st owner,₹13.51 lakh,https://www.cars24.com/buy-used-mg-astor-2022-cars-hyderabad-10464742721/,1498cc
2022 Tata PUNCH,39.68k km,Petrol,Manual,1st owner,₹6.76 lakh,https://www.cars24.com/buy-used-tata-punch-2022-cars-hyderabad-10402047720/,1199cc
2021 Mahindra Bolero,1.2L km,Diesel,Manual,1st owner,₹7.03 lakh,https://www.cars24.com/buy-used-mahindra-bolero-2021-cars-hyderabad-10449244732/,1493cc
2021 Maruti Swift,46.14k km,Petrol,Manual,1st owner,₹6.49 lakh,https://www.cars24.com/buy-used-maruti-swift-2021-cars-hyderabad-10476640756/,1197cc
2021 Renault TRIBER,23.75k km,Petrol,Manual,1st owner,₹5.18 lakh,https://www.cars24.com/buy-used-renault-triber-2021-cars-hyderabad-10449648784/,999cc
2017 Maruti Baleno,85.20k km,Diesel,Manual,1st owner,₹4.94 lakh,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10432441784/,1248cc
2021 Hyundai Verna,84.48k km,Petrol,Auto,1st owner,₹10.33 lakh,https://www.cars24.com/buy-used-hyundai-verna-2021-cars-hyderabad-10483040742/,1497cc
2019 Tata NEXON,79.11k km,Petrol,Auto,1st owner,₹5.87 lakh,https://www.cars24.com/buy-used-tata-nexon-2019-cars-hyderabad-10482347719/,1198cc
